,城区,位置,房型,面积,朝向,装修,楼层,时间,地标,单价,总价,PerPrice
90,西城区,平原里小区 ,2室1厅,63.19,南北,精装,底层(共6层),1998年,牛街,100491,635.0,10.049058395315715
91,西城区,北露园 ,1室1厅,40.3,东,简装,高楼层(共6层),1993年,阜成门,129033,520.0,12.903225806451614
92,西城区,槐柏树街 ,2室1厅,58.59,东南,简装,高楼层(共15层),1986年,长椿街,110941,650.0,11.094043352107867
93,西城区,常青藤嘉园 ,1室1厅,62.71,南,精装,中楼层(共16层),2004年,马连道,90895,570.0,9.089459416361027
94,西城区,裕中西里 ,3室1厅,78.7,东南,精装,高楼层(共20层),1989年,马甸,129988,1023.0,12.998729351969503
95,西城区,二龙路 ,2室1厅,65.3,西北,精装,低楼层(共17层),1990年,金融街,159725,1043.0,15.972434915773354
96,西城区,三里河一区 ,2室1厅,57.8,南北,简装,中楼层(共6层),1989年,月坛,138409,800.0,13.84083044982699
97,西城区,前半壁街35号院 ,1室1厅,39.4,南,简装,中楼层(共13层),1986年,官园,139594,550.0,13.959390862944163
98,西城区,太仆寺33号院 ,3室1厅,82.0,东西,简装,低楼层(共7层),2001年,西单,142074,1165.0,14.207317073170731
99,西城区,白广路6号院 ,3室1厅,85.11,南北,毛坯,高楼层(共6层),1994年,牛街,89297,760.0,8.929620491129127
100,西城区,裕中东里 ,3室1厅,77.8,东南北,简装,中楼层(共6层),1986年,马甸,134833,1049.0,13.483290488431876
101,西城区,新明胡同 ,2室1厅,57.9,南北,精装,中楼层(共6层),1989年,马甸,134716,780.0,13.471502590673575
102,西城区,新安中里 ,1室1厅,55.58,东北,简装,中楼层(共7层),2004年,右安门内,97158,540.0,9.715725080964376
103,西城区,北营房西里 ,3室1厅,77.4,南北,简装,底层(共6层),1988年,阜成门,103360,800.0,10.335917312661499
104,西城区,裕中西里 ,3室1厅,89.3,南北,简装,中楼层(共20层),1997年,马甸,133259,1190.0,13.325867861142218
105,西城区,马连道中里 ,2室1厅,59.35,南北,精装,中楼层(共6层),1997年,马连道,100253,595.0,10.025273799494524
106,西城区,小红庙南里 ,2室1厅,64.56,东,简装,低楼层(共18层),1988年,广安门,85193,550.0,8.519206939281288
107,西城区,凯迪尚府 ,3室2厅,148.79,南北,简装,14层,2010年,牛街,107467,1599.0,10.746689965723503
108,西城区,新街口西里一区 ,2室1厅,70.54,南北,精装,中楼层(共6层),2004年,新街口,118373,835.0,11.837255457896228
109,西城区,什坊街2号院 ,2室1厅,83.2,东南,简装,中楼层(共21层),1999年,六铺炕,138222,1150.0,13.822115384615385
110,西城区,红土店南里 ,2室1厅,68.17,南北,精装,底层(共6层),1997年,陶然亭,109726,748.0,10.972568578553616
111,西城区,玉桃园三区 ,2室1厅,57.1,南北,精装,中楼层(共5层),1990年,西直门,118740,678.0,11.873905429071803
112,西城区,南礼士路三条北里 ,1室1厅,42.5,南,简装,高楼层(共6层),1985年,月坛,133648,568.0,13.364705882352942
113,西城区,信建里小区 ,2室1厅,82.25,南北,简装,中楼层(共6层),2000年,右安门内,104560,860.0,10.455927051671733
114,西城区,远见名苑 ,1室0厅,48.96,北,精装,中楼层(共24层),2004年,广安门,92934,455.0,9.293300653594772
115,西城区,新壁街 ,2室1厅,69.9,南北,简装,中楼层(共6层),2004年,西单,120887,845.0,12.088698140200286
116,西城区,白菜湾四巷17号院 ,2室1厅,53.87,南北,简装,中楼层(共6层),1988年,天宁寺,111194,599.0,11.119361425654354
117,西城区,荣丰2008 ,1室1厅,31.62,南,简装,顶层(共12层),2005年,广安门,137572,435.0,13.757115749525616
118,西城区,裕中西里 ,2室1厅,63.3,南西,精装,高楼层(共24层),1991年,马甸,139969,886.0,13.996840442338073
119,朝阳区,武圣东里 ,2室1厅,60.1,南北,简装,中楼层(共6层),1987年,劲松,54909,330.0,5.490848585690515
120,朝阳区,安贞西里 ,3室1厅,69.48,南北,精装,低楼层(共16层),1986年,安贞,90674,630.0,9.067357512953368
121,朝阳区,磨房北里 ,2室1厅,57.54,东西北,精装,高楼层(共18层),1989年,北工大,64304,370.0,6.430309350017379
122,朝阳区,育慧里二区 ,2室1厅,54.83,南北,简装,中楼层(共6层),1991年,亚运村小营,82984,455.0,8.29837680102134
123,朝阳区,双兴小区 ,2室1厅,74.15,西南,简装,底层(共18层),1999年,四惠,49764,369.0,4.976399190829399
124,朝阳区,润泽公馆 ,3室2厅,141.99,南北,精装,中楼层(共24层),2014年,北苑,82401,1170.0,8.240016902598773
125,朝阳区,保利金泉 ,1室1厅,72.46,北,精装,中楼层(共30层),2008年,亚运村,79769,578.0,7.976814794369308
126,朝阳区,安华里社区 ,1室1厅,34.02,东南,简装,底层(共6层),1989年,安贞,92593,315.0,9.259259259259258
127,朝阳区,慧忠北里 ,1室1厅,63.87,西,简装,高楼层(共25层),1998年,亚运村,68108,435.0,6.8107092531705025
128,朝阳区,百环家园 ,2室1厅,111.74,西北,精装,中楼层(共28层),2005年,双井,58171,650.0,5.817075353499195
129,朝阳区,中环南路11号院 ,1室1厅,51.01,南北,简装,中楼层(共6层),1991年,望京,65674,335.0,6.567339737306411
130,朝阳区,力鸿花园 ,2室2厅,91.66,西,精装,低楼层(共24层),1997年,国展,77461,710.0,7.746017892210343
131,朝阳区,国美第一城2号院 ,3室2厅,117.77,西南,精装,低楼层(共27层),2006年,朝青,53070,625.0,5.306954232826696
132,朝阳区,华纺易城 ,1室1厅,64.74,西,精装,中楼层(共12层),2006年,朝青,76460,495.0,7.645968489341984
133,朝阳区,国美第一城2号院 ,3室2厅,138.5,南北,精装,低楼层(共27层),2006年,朝青,61011,845.0,6.101083032490974
134,朝阳区,珠江绿洲 ,2室1厅,97.38,东南,简装,中楼层(共31层),2006年,双桥,51243,499.0,5.124255493941261
135,朝阳区,东一时区 ,2室1厅,85.69,南北,精装,高楼层(共6层),2006年,双桥,50765,435.0,5.076438324191854
136,朝阳区,东领鉴筑 ,2室1厅,86.8,南北,精装,中楼层(共21层),2005年,定福庄,51268,445.0,5.126728110599078
137,朝阳区,芍药居北里 ,2室1厅,79.02,东,简装,中楼层(共14层),1996年,芍药居,79727,630.0,7.972665148063782
138,朝阳区,安慧北里逸园 ,2室2厅,85.11,南北,简装,13层,2002年,亚运村,71907,612.0,7.190694395488192
139,朝阳区,UHN国际村 ,3室2厅,141.68,南北,精装,低楼层(共28层),2003年,三元桥,77640,1100.0,7.763975155279502
140,朝阳区,华腾园 ,3室2厅,115.1,东南,简装,高楼层(共28层),2000年,劲松,69505,800.0,6.950477845351868
141,朝阳区,翠成馨园 ,2室1厅,71.63,南,精装,中楼层(共20层),2011年,垡头,49561,355.0,4.956024012285356
142,朝阳区,弘善家园 ,1室1厅,53.71,南,精装,高楼层(共28层),2009年,潘家园,62372,335.0,6.237199776577918
143,朝阳区,十里堡东里 ,2室1厅,53.91,南北,简装,顶层(共5层),1985年,十里堡,54721,295.0,5.472083101465405
144,朝阳区,芍药居北里 ,3室1厅,119.62,东南西,精装,中楼层(共20层),2008年,芍药居,69387,830.0,6.938639023574653
145,朝阳区,柏林爱乐三期 ,1室1厅,68.59,南,简装,中楼层(共15层),2007年,常营,60942,418.0,6.094182825484764
146,朝阳区,百环家园 ,3室1厅,125.63,南,精装,中楼层(共27层),2005年,双井,59302,745.0,5.930112234338932
147,朝阳区,团结湖中路南二条 ,2室1厅,60.8,南北,简装,中楼层(共6层),1980年,团结湖,69079,420.0,6.907894736842105
148,朝阳区,CBD传奇 ,1室1厅,65.95,南北,精装,18层,2006年,大望路,80364,530.0,8.036391205458681
149,朝阳区,名苑雅居 ,2室1厅,88.65,南北,精装,高楼层(共14层),2005年,南沙滩,78737,698.0,7.873660462492949
150,朝阳区,惠中园 ,3室1厅,141.32,南西南,简装,高楼层(共24层),1999年,惠新西街,75008,1060.0,7.500707613925843
151,朝阳区,道家园 ,2室1厅,65.32,东南,精装,中楼层(共20层),1997年,甜水园,65065,425.0,6.506429883649725
152,朝阳区,六里屯北里 ,3室1厅,62.23,南北,简装,中楼层(共6层),1985年,甜水园,72313,450.0,7.231238952273824
153,朝阳区,金台里 ,2室1厅,61.32,南北,简装,中楼层(共6层),1984年,红庙,70940,435.0,7.0939334637964775
154,朝阳区,首开常青藤四期 ,3室1厅,92.83,南北,简装,中楼层(共9层),2013年,东坝,68405,635.0,6.840461057847679
155,朝阳区,南湖中园一区 ,3室2厅,120.29,南北,精装,高楼层(共7层),1999年,望京,55699,670.0,5.5698728073821595
156,朝阳区,10AM新坐标 ,1室0厅,41.19,西,简装,29层,2005年,方庄,64337,265.0,6.433600388443797
157,朝阳区,华龙美树 ,1室0厅,36.78,北,简装,中楼层(共19层),2005年,管庄,63894,235.0,6.389342033713975
158,朝阳区,香河园中里 ,2室1厅,61.65,东南西北,简装,中楼层(共6层),1984年,国展,64883,400.0,6.488240064882401
159,朝阳区,北纬40度二期 ,2室2厅,98.43,南北,精装,高楼层(共25层),2009年,望京,77213,760.0,7.72122320430763
160,朝阳区,后现代城A区 ,1室0厅,46.13,北,精装,顶层(共18层),2004年,大望路,67202,310.0,6.720138738348147
161,朝阳区,安慧里一区 ,3室1厅,68.21,南北,精装,顶层(共6层),1990年,亚运村,71544,488.0,7.154376191174316
162,朝阳区,南十里居 ,2室1厅,54.37,南北,简装,顶层(共6层),1990年,朝阳公园,57017,310.0,5.7016737171234135
163,朝阳区,农光南里 ,2室1厅,59.72,西南,精装,高楼层(共16层),1987年,劲松,62794,375.0,6.279303415941058
164,朝阳区,幸福二村 ,2室1厅,53.0,南北,毛坯,顶层(共5层),1981年,工体,75472,400.0,7.547169811320755
165,朝阳区,甘露园南里 ,2室1厅,47.41,东北,简装,中楼层(共16层),1995年,甘露园,60114,285.0,6.01139000210926
166,朝阳区,京棉新城 ,2室1厅,80.41,南北,简装,高楼层(共28层),2008年,十里堡,58451,470.0,5.84504414873772
167,朝阳区,炫特嘉园一期 ,1室0厅,47.04,南,简装,中楼层(共18层),2004年,石佛营,65902,310.0,6.590136054421769
168,朝阳区,华贸城 ,1室1厅,55.34,西南,精装,中楼层(共28层),2011年,北苑,67763,375.0,6.7762920130104805
169,朝阳区,北苑家园望春园 ,2室1厅,103.31,西南,精装,低楼层(共23层),2008年,北苑,54109,559.0,5.4108992353111995
170,朝阳区,嘉润花园 ,2室1厅,106.87,东南,精装,高楼层(共30层),2001年,望京,63629,680.0,6.362870777580238
171,朝阳区,翠成馨园 ,1室0厅,50.91,东,简装,中楼层(共16层),2006年,垡头,53035,270.0,5.303476723629935
172,朝阳区,首城国际B区 ,2室1厅,85.6,东南,精装,低楼层(共27层),2010年,双井,93225,798.0,9.322429906542057
173,朝阳区,花园闸小区 ,2室1厅,57.58,南北,简装,底层(共6层),1992年,定福庄,49497,285.0,4.949635290031261
174,朝阳区,南沙滩小区 ,2室1厅,60.5,南北,简装,低楼层(共6层),1984年,南沙滩,72067,436.0,7.206611570247934
175,朝阳区,管庄西里 ,2室1厅,63.98,南北,精装,高楼层(共6层),1986年,管庄,52361,335.0,5.2360112535167245
176,朝阳区,朝阳园 ,2室1厅,91.03,东,精装,中楼层(共31层),2003年,甘露园,65913,600.0,6.59123365923322
177,朝阳区,炫特嘉园一期 ,2室1厅,59.56,东北,精装,高楼层(共22层),2004年,石佛营,66824,398.0,6.682337139019476
178,朝阳区,世纪东方城 ,3室2厅,137.14,南北,简装,中楼层(共14层),2004年,欢乐谷,62346,855.0,6.234504885518449
179,海淀区,清华园 ,2室1厅,60.8,东南北,简装,高楼层(共6层),1979年,五道口,103619,630.0,10.361842105263158
180,海淀区,新中关公寓 ,1室0厅,62.6,南,精装,顶层(共18层),2006年,苏州桥,76678,480.0,7.667731629392971
181,海淀区,黄庄小区 ,3室1厅,78.8,南北,简装,中楼层(共5层),1981年,中关村,119924,945.0,11.99238578680203
182,海淀区,水清木华园 ,2室1厅,92.62,东,精装,低楼层(共18层),2000年,五道口,101490,940.0,10.148995897214425
183,海淀区,文慧园 ,2室1厅,62.1,南北,简装,中楼层(共6层),1998年,新街口,86796,539.0,8.679549114331722
184,海淀区,莱圳家园 ,1室0厅,32.48,西,精装,低楼层(共18层),2007年,清河,95444,310.0,9.544334975369459
185,海淀区,建材城东一里 ,2室1厅,59.91,南北,精装,中楼层(共7层),1996年,西三旗,60925,365.0,6.0924720413954265
186,海淀区,万寿路15号院 ,3室1厅,92.9,南北,简装,中楼层(共6层),1995年,万寿路,113025,1050.0,11.302475780409042
187,海淀区,竹园 ,2室1厅,63.29,南北,简装,低楼层(共6层),1996年,马连洼,77422,490.0,7.742139358508453
188,海淀区,稻香园 ,1室1厅,52.2,南,简装,中楼层(共20层),1992年,苏州桥,98660,515.0,9.865900383141762
189,海淀区,北无宿舍 ,3室1厅,67.65,南北,简装,低楼层(共6层),1985年,紫竹桥,99040,670.0,9.90391722099039
190,海淀区,翠微中里 ,2室1厅,56.5,南,简装,低楼层(共21层),1992年,公主坟,92921,525.0,9.29203539823009
191,海淀区,沁春家园 ,2室1厅,77.42,南北,简装,高楼层(共6层),2000年,西三旗,61354,475.0,6.135365538620511
192,海淀区,万泉庄小区 ,2室1厅,62.3,东西,精装,顶层(共6层),1991年,苏州桥,90691,565.0,9.069020866773677
193,海淀区,美丽西园 ,2室1厅,67.9,南北,精装,中楼层(共6层),1998年,四季青,81738,555.0,8.173784977908689
194,海淀区,冠城南园 ,3室2厅,134.26,西南西北,精装,中楼层(共23层),1998年,马甸,96828,1300.0,9.682705198867868
195,海淀区,逸成东苑 ,3室2厅,154.67,南北,精装,中楼层(共15层),2004年,学院路,87283,1350.0,8.72826016680675
196,海淀区,动物园宿舍 ,2室1厅,54.5,南北,简装,高楼层(共6层),1988年,白石桥,83487,455.0,8.34862385321101
197,海淀区,育新花园 ,2室1厅,63.1,东南,简装,高楼层(共18层),1996年,西三旗,78923,498.0,7.892234548335974
198,海淀区,金雅园 ,2室1厅,86.22,南,精装,高楼层(共10层),2003年,四季青,84668,730.0,8.46671305961494
199,海淀区,宝盛北里 ,2室2厅,86.85,南北,简装,顶层(共6层),2004年,清河,57341,498.0,5.734024179620035
200,海淀区,空间物理所小区 ,2室1厅,62.0,南北,精装,高楼层(共6层),1995年,中关村,112904,700.0,11.290322580645162
201,海淀区,八宝庄 ,2室1厅,51.4,南北,精装,底层(共6层),1990年,定慧寺,82880,426.0,8.287937743190662
